iata,city,secondary
XCM,Chatham,ON - Canada
XHS,Chemainus,BC - Canada
YCS,Chesterfield Inlet,NU - Canada
YHR,Chevery,QC - Canada
YMT,Chibougamau,QC - Canada
YKU,Chisasibi,QC - Canada
ZUM,Churchill Falls,NL - Canada
XAD,Churchill,MB - Canada
YYQ,Churchill,MB - Canada
YCY,Clyde River,NU - Canada
XGJ,Cobourg,ON - Canada
YCK,Colville Lake,NT - Canada
YQQ,Comox,BC - Canada
YZS,Coral Harbour,NU - Canada
YCC,Cornwall,ON - Canada
XGK,Coteau,QC - Canada
YCA,Courtenay,BC - Canada
YXC,Cranbrook,BC - Canada
YCR,Cross Lake,MB - Canada
YDN,Dauphin,MB - Canada
YDI,Davis Inlet,NL - Canada
YDA,Dawson City,YT - Canada
YDQ,Dawson Creek,BC - Canada
YDF,Deer Lake,NL - Canada
YVZ,Deer Lake,ON - Canada
YWJ,Deline,NT - Canada
XDM,Drummondville,QC - Canada
YHD,Dryden,ON - Canada
DUQ,Duncan/Quam,BC - Canada
ZEM,East Main,QC - Canada
XZL,Edmonton,AB - Canada
YEG,Edmonton,AB - Canada
YPF,Esquimalt,BC - Canada
YFO,Flin Flon,MB - Canada
ZFD,Fond du Lac,SK - Canada
YFA,Fort Albany,ON - Canada
YPY,Fort Chipewyan,AB - Canada
YAG,Fort Frances,ON - Canada
YGH,Fort Good Hope,NT - Canada
YFH,Fort Hope,ON - Canada
YMM,Fort Mcmurray,AB - Canada
YYE,Fort Nelson,BC - Canada
YER,Fort Severn,ON - Canada
YFS,Fort Simpson,NT - Canada
YSM,Fort Smith,NT - Canada
YXJ,Fort St John,BC - Canada
YFX,Fox Harbour/St Lewis,NL - Canada
XFC,Fredericton Junction,NB - Canada
YFC,Fredericton,NB - Canada
YQX,Gander,NL - Canada
XDD,Gaspe,QC - Canada
YGP,Gaspe,QC - Canada
XHM,Georgetown,ON - Canada
ZGS,Gethsemani,QC - Canada
YGX,Gillam,MB - Canada
YGB,Gillies Bay,BC - Canada
YHK,Gjoa Haven,NU - Canada
XZC,Glencoe,ON - Canada
YGO,Gods Narrows,MB - Canada
ZGI,Gods River,MB - Canada
YYR,Goose Bay,NL - Canada
YQU,Grande Prairie,AB - Canada
XGY,Grimsby,ON - Canada
YGZ,Grise Fiord,NU - Canada
XIA,Guelph,ON - Canada
XDG,Halifax,NS - Canada
YHZ,Halifax,NS - Canada
YUX,Hall Beach,NU - Canada
YHM,Hamilton,ON - Canada
YGV,Havre St Pierre,QC - Canada
YHY,Hay River,NT - Canada
